date, Madrid,Delhi,Beijing,Hong Kong,Los-Angeles,New-York,Paris,Seoul,California,Wuhan
2020/4/2,19,98,35,52,49,20,65,103,38,38
2020/4/3,28,77,60,55,47,14,61,84,52,52
2020/4/4,29,80,65,71,50,13,53,113,54,54
2020/4/5,28,107,84,47,13,14,60,92,41,41
2020/4/6,31,132,86,56,15,41,50,71,50,50
2020/4/7,23,129,152,56,11,25,51,81,50,50
2020/4/8,29,81,126,42,12,27,64,94,41,41
2020/4/9,35,80,76,59,33,41,68,68,47,47
2020/4/10,42,94,103,63,29,24,77,82,45,45
2020/4/11,34,116,117,65,21,20,75,87,47,47
2020/4/12,38,121,79,82,34,26,64,79,33,33
2020/4/13,41,92,69,50,35,39,63,72,24,24
2020/4/14,42,128,88,57,44,29,67,45,53,53
2020/4/15,30,155,153,71,30,15,42,93,56,56
2020/4/16,20,145,151,87,21,26,48,120,51,51
2020/4/17,25,149,83,75,19,25,53,86,54,54
2020/4/18,21,73,80,63,30,24,59,75,30,30
2020/4/19,27,74,100,70,37,22,22,53,27,27
2020/4/20,17,83,122,64,43,38,67,63,23,23
2020/4/21,21,115,39,49,59,21,78,35,24,24
2020/4/22,17,108,40,48,49,21,49,39,23,23
2020/4/23,18,122,36,42,56,13,56,43,38,38
2020/4/24,27,128,35,41,62,22,70,55,34,34
2020/4/25,22,149,65,47,38,20,67,112,44,44
2020/4/26,28,87,55,76,31,39,57,96,35,35
2020/4/27,32,158,94,148,38,30,60,93,41,41
2020/3/2,17,117,156,170,59,39,41,100,53,53
2020/3/3,21,170,72,74,64,37,43,89,54,54
2020/3/4,22,132,80,68,63,20,53,93,55,55
2020/3/5,13,152,99,64,25,25,45,131,41,41
2020/3/6,16,82,47,54,19,30,39,143,36,36
2020/3/7,12,66,110,41,29,24,54,134,38,38
2020/3/8,23,108,168,70,25,27,62,99,33,33
2020/3/9,28,137,135,89,27,47,47,49,38,38
2020/3/10,19,105,171,76,38,43,42,58,41,41
2020/3/11,40,143,129,70,31,26,28,52,27,27
2020/3/12,47,140,52,53,30,39,28,73,47,47
2020/3/13,48,127,92,64,22,28,39,70,59,59
2020/3/14,57,169,74,96,32,28,41,51,54,54
2020/3/15,47,100,42,132,24,22,49,79,46,46
2020/3/16,48,127,36,62,28,22,54,114,50,50
2020/3/17,35,143,34,89,24,33,62,79,40,40
2020/3/18,38,127,87,80,21,29,80,38,48,48
2020/3/19,63,120,100,78,26,22,98,61,55,55
2020/3/20,65,169,119,86,21,41,76,61,48,48
2020/3/21,68,162,39,75,15,22,98,97,50,50
2020/3/22,54,182,94,84,23,29,40,116,39,39
2020/3/23,39,152,86,97,16,21,44,102,31,31
2020/3/24,35,152,98,76,17,20,43,106,40,40
2020/3/25,40,124,102,70,27,24,46,80,48,48
2020/3/26,54,106,121,71,34,30,63,30,44,44
2020/3/27,21,120,192,66,41,37,65,66,57,57
2020/3/28,37,69,39,76,39,26,86,100,57,57
2020/3/29,20,60,17,70,43,11,128,97,23,23
2020/3/30,25,70,37,62,34,24,36,139,23,23
2020/3/31,36,89,122,45,47,16,34,147,23,23
2020/4/1,37,86,156,55,16,53,56,64,37,37
2020/2/2,39,181,151,52,31,46,36,63,33,33
2020/2/3,54,178,30,78,26,55,33,47,37,37
2020/2/4,58,202,85,85,45,67,40,79,33,33
2020/2/5,62,228,79,69,58,26,45,86,45,45
2020/2/6,36,213,38,70,70,29,57,99,54,54
2020/2/7,55,201,87,58,46,33,67,86,45,45
2020/2/8,57,192,119,66,36,47,72,106,61,61
2020/2/9,77,237,160,79,34,49,70,116,68,68
2020/2/10,65,194,127,42,45,38,37,115,59,59
2020/2/11,65,215,193,56,56,48,48,152,24,24
2020/2/12,65,218,195,75,63,42,34,163,26,26
2020/2/13,61,168,244,86,64,41,48,146,18,18
2020/2/14,61,153,253,105,63,40,46,69,37,37
2020/2/15,54,173,261,63,70,32,57,70,58,58
2020/2/16,61,237,112,58,71,47,61,65,62,62
2020/2/17,60,242,29,73,77,50,40,89,61,61
2020/2/18,56,211,18,31,64,46,34,142,26,26
2020/2/19,18,229,27,47,47,38,40,134,36,36
2020/2/20,18,189,55,48,32,32,45,109,27,27
2020/2/21,32,101,126,59,41,32,43,48,20,20
2020/2/22,23,116,176,64,58,38,45,76,16,16
2020/2/23,41,163,135,54,49,47,49,48,30,30
2020/2/24,28,134,25,79,42,59,31,38,26,26
2020/2/25,34,198,110,72,34,45,27,29,46,46
2020/2/26,42,216,150,74,29,23,34,73,54,54
2020/2/27,16,188,127,67,45,23,36,71,59,59
2020/2/28,70,171,94,70,63,29,42,89,51,51
2020/2/29,75,140,79,61,63,26,58,133,50,50
2020/3/1,50,292,138,62,54,40,53,141,37,37
